Carrier,Mode,Origin City,Origin State,Dest City,Dest State,Invoice ID,Date,Reference,Consignee,Bill To,Freight Type,Allocation,Route Calc,Miles,Stops,Stop Charges,Route Charges, Fuel Surcharge ,Fuel Charges,Total Invoice (Pay Amount),Class,Skids,Weight,TI Invoice,Allocation Month,Invoice Date,Customs and Duties,Freight Only,Commission,GL Code,PO/Entry Number,Bill of Lading,Bill To
RCFQ,TL,ATLANTA,GA,MEMPHIS,TN,108512,1/2/2024,,EMO TRANS INC,MEM,CKD,,,376,,,,,$0.00 ,1400,70,,7561,525197,1-Jan,1/4/2024,$0.00 ,"$1,400.00 ",$0.00 ,,,,MEM
RCFQ,TL,BLOOMINGTON,IN,ORANGEBURG,SC,108679,1/4/2024,,TASUS CORP,OGBD,MRO,,,616,,,,,$0.00 ,2200,70,43,8815,525592,1-Jan,1/11/2024,$0.00 ,"$2,200.00 ",$0.00 ,,,52475478LN,OGBD
RCFQ,TL,BLOOMINGTON,IN,ORANGEBURG,SC,108680,1/4/2024,,TASUS CORPORATION,OGBD,MRO,,,616,,,,,$0.00 ,2200,70,43,8815,525592,1-Jan,1/11/2024,$0.00 ,"$2,200.00 ",$0.00 ,,,52475478LN,OGBD
RCFQ,TL,BLYTHEWOOD,SC,MEMPHIS,TN,108907,1/5/2024,,KOYO BEARINGS NORTH AMERICA LLC (MEM),MEM,XFER,,,609,,,,,$0.00 ,1700,77,1,11203,525592,1-Jan,1/11/2024,$0.00 ,"$1,700.00 ",$0.00 ,,,58496462,MEM
SEFL,LTL,MORGANTON,GA,ORANGEBURG,SC,345091124,1/4/2024,,BLUE RIDGE PALLET MILL INC,OGBD,MRO,,,259,,,,,$43.47 ,198.72,50,,4000,525592,1-Jan,1/11/2024,$0.00 ,$198.72 ,$58.48 ,,,,OGBD
SEFL,LTL,ORANGEBURG,SC,MEMPHIS,TN,346648572,1/4/2024,,0 KOYO BEARINGS NORTH AMERICA LLC (MEM),MEM,XFER,,,605,,,,,$47.05 ,215.07,77,,1815,525592,1-Jan,1/11/2024,$0.00 ,$215.07 ,$63.35 ,,,58431373,MEM
SEFL,LTL,ORANGEBURG,SC,MEMPHIS,TN,346648637,1/5/2024,,0 KOYO BEARINGS NORTH AMERICA LLC (MEM),MEM,XFER,,,605,,,,,$21.07 ,96.32,55,,103,525592,1-Jan,1/11/2024,$0.00 ,$96.32 ,$8.83 ,,,,MEM
SEFL,LTL,ORANGEBURG,SC,MEMPHIS,TN,346648645,1/5/2024,,0 KOYO BEARINGS NORTH AMERICA LLC (MEM),MEM,XFER,,,605,,,,,$21.07 ,96.32,77,,355,525592,1-Jan,1/11/2024,$0.00 ,$96.32 ,$8.85 ,,,58475939,MEM
TPNI,TL,ORANGEBURG,SC,CHARLESTON,SC,BC02927901,1/1/2024,,WANDO WELCH,OGBD,CKD,,,75,,,,,$0.00 ,1000,70,1,1,525592,1-Jan,1/11/2024,$0.00 ,"$1,000.00 ",$0.00 ,,,,OGBD
AVRT,LTL,MEMPHIS,TN,LEBANON,TN,64139392,1/5/2024,,BALKAMP INC,MEM,CS,,,238,,,,,$31.72 ,155.67,77,,157,525598,1-Jan,1/11/2024,$0.00 ,$155.67 ,$0.00 ,,587984,58454806,MEM
AVRT,LTL,MEMPHIS,TN,STURTEVANT,WI,64139395,1/8/2024,,POCLAIN HYDRAULICS,MEM,CS,,,594,,,,,$145.17 ,616.49,77,,2950,525598,1-Jan,1/11/2024,$0.00 ,$616.49 ,$84.80 ,,20231129-0008,MKE30299563,MEM
CNWY,LTL,ELKHART,IN,MEMPHIS,TN,774565304,1/3/2024,,COLBERT PACKAGING CORPORATION,MEM,MRO,,,587,,,,,$56.83 ,259.81,250,,590,525598,1-Jan,1/11/2024,$0.00 ,$259.81 ,$23.14 ,,20509994-2,52473960LN,MEM
EXLA,LTL,MEMPHIS,TN,TAMPA,FL,1353438461,1/2/2024,,BARTLETT BEARING COMPANY INC,MEM,CS,,,761,,,,,$37.62 ,169.62,77,,176,525598,1-Jan,1/11/2024,$0.00 ,$169.62 ,$0.00 ,,80227388,58439621,MEM
EXLA,LTL,MEMPHIS,TN,CROWN POINT,IN,1353438463,1/2/2024,,MIDWEST TRUCK AND AUTO PARTS,MEM,CS,,,519,,,,,$128.30 ,578.47,77,,4415,525598,1-Jan,1/11/2024,$0.00 ,$578.47 ,$14.25 ,,P045444,58425026,MEM
EXLA,LTL,MEMPHIS,TN,DES MOINES,IA,1353438466,1/2/2024,,APPLIED INDUSTRIAL TECHNOLOGIES,MEM,CS,,,601,,,,,$127.95 ,576.88,77,,2765,525598,1-Jan,1/11/2024,$0.00 ,$576.88 ,$14.91 ,,4512028042,58473671,MEM
