ItemNumber,ShippingReportWeight
168921,0.562179
167833,0.15
171526,0.185
167532,0.15432
321104,0.025
171165,0.059
191267,0.013
259936,0.0022046
167831,0.088
325743,0.074
325744,0.083
170101,0.09
167860,0.097
169935,0.011
195175,0.004
312770,0.53
167866,0.062
167872,0.134
302257,0.761
171107,2.9
302956,0.007
168901,0.066
168417,0.049
168896,0.0375
294397,0.119
310705,0.28
171681,0.0617
167809,1.036222
296839,0.041
170679,0.249
312769,0.18
319908,1
312768,0.74
321881,0.02267962
296800,0.633
322753,0.078
320678,1
312847,0.74
321527,0.730656
312846,0.509
312790,0.08
170328,0.221
168934,0.381
170266,0.008818
170031,0.05732
297476,0.25
A6472,0.327040099
16551,0.009
14152,0.025
21321,0.026
19299,0.181
19267,0.082
13128,0.007
169130,4.285
169604,0.034
13024,0.032
A3388,1.14
A2841,0.146
A8590,0.304
E5886,0.127
A2982,0.062
A4229,0.018
E5885,0.341
E5604,0.164
E1956,0.367
E2998,0.179622579
E3315,0.3395
12440,0.018
18430,0.02
11638,0.038
21599,0.032
11964,0.031
A4562,0.122923532
A4588,0.344730201
A4508,0.1518
13286,0.008
12573,0.01
E2640,0.233
A3943,0.47
20071,0.115
19225,0.016
A3179,1.009696616
A10888,0.598
A3885,0.027
A3092,0.677667001
A2125,0.133
A10525,0.4665
A10535,1.6706
A7307,0.749788188
A3291,0.117026831
A7701,0.66
E4800,0.6147
A3841,3.08
13824,0.057
E2565,0.567897647
A8744,0.011
A3883,0.149685482
A2121,0.105
A3128,0.769
13692,0.026
14733,0.015
13937,0.002
16950,0.011
20829,0.2045
E4089,0.283
12306,0.01
12389,0.024
A4195,0.133809749
169618,0.384
11616,0.019
169939,0.362
15340,0.047
15105,0.048
16327,0.138
19397,0.098
16770,0.028
19617,0.023
15988,0.017
18933,0.006
22038,0.202
12681,0.12
170111,0.073
A5923,0.692635549
A2991,1.145774327
A2773,0.832795591
A4134,0.484890244
A3138,0.181
A3183,0.959801455
A2108,2.252993302
A1999,3.489939695
A3251,0.998356806
A2082,0.0193
A2837,0.143788781
13535,0.179
20109,0.004
A10183,1.09
A8561,4
A7045,0.8832416
12383,0.042
A2600,0.067585263
A3096,0.19
319427,1
21090,0.016
E2815,3.06991316
E6209,2.72
E5646,0.555
E6281,3.76
E5648,3.62
E5819,6.3
E6278,3.49
E6296,0.491
E5658,0.155
E5654,0.124
E6243,4.11
E5990,3.53
E6199,2.39
E1213,5
E6198,2.39
E5909,1.09
E2572,0.702
E5612,0.53
E5509,0.0655
E3596,0.1
E4959,3.38
E4978,3.3056
E1246,4.55
E1315,4.13
E3517,0.5
E3510,0.484
E4268,0.48987976
E3597,0.49
E5820,0.456
E3558,0.274
E6246,0.0366
E5647,3.69
E5817,1
A7100,0.131
15866,0.019
E2298,0.7
14102,0.004
13181,0.055
A8741,0.021
A10903,1.73
A8740,0.021
A3673,0.011
20587,0.048
A5866,0.7418
A5827,0.342008647
21210,0.007
E6191,0.25
E1242,2.89
A1380,9.939569604
E2659,0.87
E3207,0.102
E3000,0.185
A2312,0.117
16228,0.068
A3213,0.149
A2727,0.735726824
A2264,0.04
A7299,0.098883137
18124,0.032
17791,0.037
A10384,3.4633
13989,0.014
13817,0.131
16748,0.003
18632,0.096
13719,0.018
21671,0.032
12258,0.017
A7482,0.1765
A5981,0.119748386
A2952,1.71
A4491,0.2832
20842,0.003
E1689,0.664
A2180,0.142
19498,0.07
A10501,0.455
A10921,0.191
A6686,0.07
19019,0.154
A6545,0.266
A1911,0.03
171114,0.073
19679,0.007
13780,0.127
A5991,0.849578509
11843,0.001
177014,0.025854
167850,0.125
E4495,0.4861
E3021,0.438623822
E1756,1.799854524
E1748,0.1235
E3213,0.1648
E3654,0.044
E3935,0.181
20668,0.005
13777,0.021
E3279,0.1206
E3058,0.1072
E3735,0.128
A10896,2.57
A3952,0.534785404
11915,0.02
E1605,0.388
14735,0.004
A8737,0.064
E1613,0.108
19226,0.073
169154,4.285
11699,0.007
13760,0.52
A2120,0.203662974
E4522,0.7061
A1305,61.99927309
E3669,0.618
E4921,2.5
E5864,0.48
E5892,0.4664
E3928,0.228
E2726,0.99
A10500,1.457
E3290,0.638
E5887,0.384
E4823,0.414
E3961,0.923
E5906,1
E6256,0.691
S2922,9.66
A1536,39.5
A5676,2.647
A8226,20.3
A3269,0.0669
A2855,0.598
A4098,3.64
A3912,5.79
A5227,10.69979042
A4221,1.73
A3186,0.414583426
A3311,0.108
A2036,0.13
A2691,0.277
A3147,0.365
A3047,0.367
A3168,0.406
A3169,0.407
A2671,0.46
A3232,0.994
A3204,1.07
A2940,2.629928561
A2847,2.64
A2844,0.004
A3350,0.228
A3346,0.432
A4184,0.43
A2853,0.802
A4225,0.84
A4226,2.563250483
A3959,5
A3846,5.75
A4028,1.25
A3830,1.81
A5122,4.799914459
A2207,0.297
A5311,0.907
A5114,2.379545573
A5226,0.476725581
A5121,3.369737717
A1922,1.659694482
A1949,2.299713316
A3121,0.188
A2904,1.07
A1678,13.2349
12387,0.013
A5127,0.484
A5220,0.411861872
A10920,0.191
15393,0.197
18904,0.165
16325,0.572
169983,0.476
19395,0.487
17109,0.05
20411,0.03855
169938,0.29
13448,0.472
A10844,0.433
19097,0.43
11862,0.026
A10843,0.337
16430,0.02630836
18553,0.079
15111,0.097
16577,0.083
20835,0.0193
19358,0.091
15110,0.072
17780,0.171
A10833,0.201
13180,0.041
13449,0.066
A2198,0.08
16507,0.111
15960,0.054
19545,0.122
13028,0.023
12234,0.083
16158,0.032
12259,0.067
13182,0.027
12388,0.057
A7225,0.021
19537,0.016
A2235,0.0192
12237,0.053
20669,0.039
A3087,0.0372
19066,0.014
13776,0.046
13022,0.022
20452,0.0175
13236,0.037
16413,0.007
13983,0.006
13450,0.015
19376,0.006
19051,0.011
19296,0.013
22003,0.01
15326,0.01
12665,0.015
17258,0.006
20844,0.012
16472,0.009
20567,0.007
20317,0.004
A4666,0.224981816
18067,0.057
A6933,0.273
A5221,0.364688265
A5517,0.319782621
A6698,0.207291713
A6671,0.329761653
A4962,0.186
A4511,0.239043179
A10474,0.644
A4740,0.494869276
A4487,0.301638926
A4322,0.438623822
A8847,0.687
A5730,0.561
A8860,0.702
A7476,0.5897
A10477,0.585
A3520,0.885
A8677,0.357
A1474,2.461
A4459,0.339740685
A6327,0.3182
A10832,0.132
A6154,0.021772434
316098,0.08573
A8458,2.7
A6138,0.341101462
A1627,0.782446838
A6977,0.2693
A4082,0.008
A5215,0.109769354
A2114,0.101604691
A2712,0.212281229
18725,0.075
16681,0.049
12385,0.025
A4089,0.133809749
A2400,0.116
16034,0.064
21587,0.003
E3889,0.4536
E1944,0.406872356
297328,0.041
16083,0.118
192846,0.35
16291,0.112
14038,0.026
A4230,0.017690102
194668,0.013
A1368,3.479960663
A2482,11.2
A8702,0.011
A10724,1.303
A3180,1.419744118
20097,0.007
A2655,0.33
A3305,0.234
A4448,0.1316
171113,0.068
20784,0.003
170800,0.044
12571,0.009
A10380,2.9847
A3810,2.12
A3135,0.415490611
13290,0.031
12620,0.046
16706,0.005
19415,0.008
13662,0.001
A3939,0.149
A2956,0.843
22074,0.0104
A2134,0.727562161
A2204,1.419744118
A3312,0.0322
A2871,0.114
A4417,0.0811
319811,1
A3317,0.079
19048,0.132
E2991,0.119748386
13882,0.015
15226,0.009
318385,0.012
18795,0.061
16310,0.102
11845,0.171
19934,0.144
